Model,MSO2024B
Firmware Version,1.56

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,130200
Sample Interval,260.4
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
1.3567e+05,-58.5125
1.3593e+05,-64.0812
1.3619e+05,-62.5781
1.3645e+05,-61.0719
1.3671e+05,-57.0094
1.3697e+05,-52.9438
1.3723e+05,-57.0094
1.3749e+05,-61.0719
1.3775e+05,-57.0094
1.3801e+05,-52.9438
1.3827e+05,-57.0094
1.3853e+05,-61.0719
1.3879e+05,-57.5781
1.3905e+05,-54.0812
1.3931e+05,-59.0812
1.3957e+05,-64.0812
1.3983e+05,-59.5688
1.4010e+05,-55.0531
1.4036e+05,-58.0625
1.4062e+05,-61.0719
1.4088e+05,-61.0719
1.4114e+05,-61.0719
1.4140e+05,-61.0719
1.4166e+05,-61.0719
1.4192e+05,-58.0625
1.4218e+05,-55.0531
1.4244e+05,-58.0625
1.4270e+05,-61.0719
1.4296e+05,-61.0719
1.4322e+05,-61.0719
1.4348e+05,-59.0844
1.4374e+05,-57.0938
1.4400e+05,-57.0938
1.4426e+05,-57.0938
1.4452e+05,-57.0938
1.4478e+05,-57.0938
1.4504e+05,-60.5875
1.4530e+05,-64.0812
1.4556e+05,-59.5688
1.4582e+05,-55.0531
1.4608e+05,-58.0625
1.4634e+05,-61.0719
1.4661e+05,-61.0719
1.4687e+05,-61.0719
1.4713e+05,-59.0844
1.4739e+05,-57.0938
1.4765e+05,-55.0187
1.4791e+05,-52.9438
1.4817e+05,-57.0094
1.4843e+05,-61.0719
1.4869e+05,-58.0625
1.4895e+05,-55.0531
1.4921e+05,-56.075
1.4947e+05,-57.0938
1.4973e+05,-57.0938
1.4999e+05,-57.0938
1.5025e+05,-56.075
1.5051e+05,-55.0531
1.5077e+05,-55.0531
1.5103e+05,-55.0531
1.5129e+05,-58.0625
1.5155e+05,-61.0719
1.5181e+05,-61.0719
1.5207e+05,-61.0719
1.5233e+05,-61.0719
1.5259e+05,-61.0719
1.5285e+05,-59.0844
1.5312e+05,-57.0938
1.5338e+05,-59.0844
1.5364e+05,-61.0719
1.5390e+05,-59.0844
1.5416e+05,-57.0938
1.5442e+05,-57.0938
1.5468e+05,-57.0938
1.5494e+05,-59.0844
1.5520e+05,-61.0719
1.5546e+05,-59.0844
1.5572e+05,-57.0938
1.5598e+05,-59.0844
1.5624e+05,-61.0719
1.5650e+05,-59.0844
1.5676e+05,-57.0938
1.5702e+05,-56.075
1.5728e+05,-55.0531
1.5754e+05,-58.0625
1.5780e+05,-61.0719
1.5806e+05,-58.0625
1.5832e+05,-55.0531
1.5858e+05,-59.5688
1.5884e+05,-64.0812
1.5910e+05,-62.5781
1.5936e+05,-61.0719
1.5963e+05,-58.0625
1.5989e+05,-55.0531
1.6015e+05,-55.0531
1.6041e+05,-55.0531
1.6067e+05,-56.075
1.6093e+05,-57.0938
1.6119e+05,-57.0938
1.6145e+05,-57.0938
1.6171e+05,-57.0938
1.6197e+05,-57.0938
1.6223e+05,-57.0938
1.6249e+05,-57.0938
1.6275e+05,-59.0844
1.6301e+05,-61.0719
1.6327e+05,-58.0625
1.6353e+05,-55.0531
1.6379e+05,-58.0625
1.6405e+05,-61.0719
1.6431e+05,-61.0719
1.6457e+05,-61.0719
1.6483e+05,-62.5781
1.6509e+05,-64.0812
1.6535e+05,-60.5875
1.6561e+05,-57.0938
1.6587e+05,-57.0938
1.6614e+05,-57.0938
1.6640e+05,-59.0844
1.6666e+05,-61.0719
1.6692e+05,-59.0844
1.6718e+05,-57.0938
1.6744e+05,-56.075
1.6770e+05,-55.0531
1.6796e+05,-56.075
1.6822e+05,-57.0938
1.6848e+05,-59.0844
1.6874e+05,-61.0719
1.6900e+05,-58.0625
1.6926e+05,-55.0531
1.6952e+05,-58.0625
1.6978e+05,-61.0719
1.7004e+05,-59.0844
1.7030e+05,-57.0938
1.7056e+05,-59.0844
1.7082e+05,-61.0719
1.7108e+05,-59.0844
1.7134e+05,-57.0938
1.7160e+05,-57.0938
1.7186e+05,-57.0938
1.7212e+05,-57.5781
1.7238e+05,-58.0625
1.7265e+05,-59.5688
1.7291e+05,-61.0719
1.7317e+05,-58.0625
1.7343e+05,-55.0531
1.7369e+05,-58.0625
1.7395e+05,-61.0719
1.7421e+05,-59.0844
1.7447e+05,-57.0938
1.7473e+05,-56.075
1.7499e+05,-55.0531
1.7525e+05,-58.0625
1.7551e+05,-61.0719
1.7577e+05,-59.0844
1.7603e+05,-57.0938
1.7629e+05,-59.0844
1.7655e+05,-61.0719
1.7681e+05,-59.0844
1.7707e+05,-57.0938
1.7733e+05,-57.0938
1.7759e+05,-57.0938
1.7785e+05,-57.0938
1.7811e+05,-57.0938
1.7837e+05,-60.5875
1.7863e+05,-64.0812
1.7889e+05,-60.5875
1.7916e+05,-57.0938
1.7942e+05,-59.0844
1.7968e+05,-61.0719
1.7994e+05,-58.0625
1.8020e+05,-55.0531
1.8046e+05,-59.5688
1.8072e+05,-64.0812
1.8098e+05,-60.5875
1.8124e+05,-57.0938
1.8150e+05,-57.5781
1.8176e+05,-58.0625
1.8202e+05,-58.0625
1.8228e+05,-58.0625
1.8254e+05,-57.5781
1.8280e+05,-57.0938
1.8306e+05,-59.0844
1.8332e+05,-61.0719
1.8358e+05,-58.0625
1.8384e+05,-55.0531
1.8410e+05,-56.075
1.8436e+05,-57.0938
1.8462e+05,-57.0938
1.8488e+05,-57.0938
1.8514e+05,-57.0938
1.8540e+05,-57.0938
1.8567e+05,-57.0938
1.8593e+05,-57.0938
1.8619e+05,-56.075
1.8645e+05,-55.0531
1.8671e+05,-56.075
1.8697e+05,-57.0938
1.8723e+05,-57.0938
1.8749e+05,-57.0938
1.8775e+05,-57.0938
1.8801e+05,-57.0938
1.8827e+05,-57.0938
1.8853e+05,-57.0938
1.8879e+05,-59.0844
1.8905e+05,-61.0719
1.8931e+05,-59.0844
1.8957e+05,-57.0938
1.8983e+05,-59.0844
1.9009e+05,-61.0719
1.9035e+05,-58.0625
1.9061e+05,-55.0531
1.9087e+05,-59.5688
1.9113e+05,-64.0812
1.9139e+05,-59.5688
1.9165e+05,-55.0531
1.9191e+05,-59.5688
1.9218e+05,-64.0812
1.9244e+05,-60.5875
1.9270e+05,-57.0938
1.9296e+05,-59.0844
1.9322e+05,-61.0719
1.9348e+05,-58.0625
1.9374e+05,-55.0531
1.9400e+05,-58.0625
1.9426e+05,-61.0719
1.9452e+05,-59.0844
1.9478e+05,-57.0938
1.9504e+05,-59.0844
1.9530e+05,-61.0719
1.9556e+05,-62.5781
1.9582e+05,-64.0812
1.9608e+05,-60.5875
1.9634e+05,-57.0938
1.9660e+05,-57.0938
1.9686e+05,-57.0938
1.9712e+05,-57.5781
1.9738e+05,-58.0625
1.9764e+05,-57.5781
1.9790e+05,-57.0938
1.9816e+05,-57.0938
1.9842e+05,-57.0938
